Device              NVIDIA A100-SXM4-40GB
Compatibility       8.0
clockRate (MHz)     1410
memClockRate (MHz)  1215

  fft    max exp  ms/iter
 1024   19535569   0.1330
 1152   21921901   0.0954
 1280   24302527   0.1089
 1296   24599717   0.1125
 1323   25101101   0.1192
 1600   30232693   0.1261
 1728   32597297   0.1314
 1792   33778141   0.1471
 1800   33925711   0.1647
 2000   37609879   0.1686
 2025   38069833   0.1770
 2048   38492887   0.2286
 2187   41047411   0.1830
 2304   43194913   0.1853
 2401   44973503   0.2040
 2560   47885689   0.2095
 2592   48471289   0.2112
 2744   51250889   0.2428
 3136   58404433   0.2610
 3200   59570449   0.2622
 3456   64229677   0.2914
 3584   66556463   0.3361
 3645   67664687   0.3693
 3888   72075517   0.3724
 4000   74106457   0.3839
 4096   75846319   0.4332
 4608   85111207   0.4741
 5000   92189509   0.5203
 5184   95507747   0.5259
 5488  100984691   0.5720
 5832  107174381   0.6172
 6272  115080019   0.6440
 6400  117377567   0.6719
 6561  120266023   0.7082
 6912  126558077   0.7230
 7168  131142761   0.8179
 7776  142017539   0.8221
 8000  146019329   0.8450
 8192  149447533   0.8637
